Reference,Value,Quantity
"A11,C10,C11,D10,E10,E11,F3,F6,H3,J3,K3",74LS157,11
"B7,C7,C9,D7,D9,E9,F9,H9,J9,K5",74LS191,10
"D8,F10,F11,N11,N12,N7,P7",74LS174,7
"D2,E2,M4,N4,P4,R4",2114,6
"B12,B13,R11,R12",4016B,4
"B5,D6,H10,L5",74LS04,4
"B8,E6,K6,R7",74LS08,4
"F7,H7,J7,K7",74LS273,4
"B10,B9,M5,N6",74LS32,4
"F8,H8,J8,K8",74LS97,4
"F5,H5,J5",74LS193,3
"E3,P2,R2",74LS245,3
"J10,J11,L10",74LS251,3
"E7,E8,L6",74LS42,3
"F4,H4,J4",74LS670,3
"A7,D4,R8",74LS74,3
"D12,D13,M9",CD4016B,3
"L8,P11,P12",LM324,3
"N10,N9",7406,2
"C6,N5",74LS00,2
"A10,A9",74LS109,2
"E4,L3",74LS139,2
"B2,C2",74LS244,2
"M10,M11",74LS259,2
"H6,J6",74LS367,2
"B4,D5",74LS393,2
"K4,L4",83S185,2
"C4,C5",9316,2
"B11,D11",AD561J,2
"L9,M8",NE555,2
C1,035143-02,1
D1,035144-02,1
F1,035145-02,1
E12,137108-001,1
M12,4-position DIP switch,1
C3,6502A,1
A8,74LS10,1
B6,74LS14,1
P8,74LS161,1
M7,74LS175,1
E5,74LS20,1
P6,74LS253,1
B16,74LS374,1
M6,74LS83,1
P5,74LS86,1
C8,82S129,1
N3,8316E,1
